Person ID,Gender,Age,Sleep Duration,height,weights,sleeping_calburn,Country,breakfast,breakfast_cal,remain_cal
365,Female,59,8.0,157,62,381,India,Masala dosa with sambar,400.0,19.0
366,Female,59,8.0,171,59,400,India,Masala dosa with sambar,400.0,0.0
367,Female,59,8.1,174,66,435,China,Congee with pickled vegetables,220.0,-215.0
368,Female,59,8.0,167,69,425,United States,,,
369,Female,59,8.1,155,69,405,Brazil,Pão de queijo with coffee,300.0,-105.0
370,Female,59,8.1,154,70,407,Japan,Miso soup with rice,200.0,-207.0
371,Female,59,8.0,153,78,426,Italy,Cappuccino with cornetto,250.0,-176.0
372,Female,59,8.1,174,56,402,Brazil,Pão de queijo with coffee,300.0,-102.0
373,Female,59,8.1,168,64,416,United Kingdom,Full English breakfast,700.0,284.0
374,Female,59,8.1,174,73,459,Italy,Cappuccino with cornetto,250.0,-209.0
